formulation_id,batch_id,viability_percent,intact_patch_formation_pass,evidence_kind,exclusion_reason,candidate_id,selection_rank,recommendation_type,selection_explanation,mechanical_test_recommended,mechanical_selection_rank,mechanical_selection_mode,mechanical_backup_status,mechanical_transition_role,replicate_id,no_slurry,no_collapse,intact_tip_count,total_tip_count,instron_file,needles_compressed,critical_axial_load_N_per_needle,critical_axial_load_N_total,initial_stiffness_N_per_mm_per_needle,preparation_feasibility_pass,homogeneous_solution_pass,fillability_pass,preparation_failure_reason,notes,dmso_M,ectoin_M,ethylene_glycol_M,glycerol_M,propylene_glycol_M,trehalose_M,sucrose_M,raffinose_M,taurine_M,myo_inositol_M,methoxyphenyl_beta_d_glucopyranoside_M,betaine_M,proline_M,glucose_M,creatine_M,acetamide_M,sericin_pct,methylcellulose_pct,dextran_pct,pvp_pct,hyaluronic_acid_pct,fbs_pct,hsa_pct,human_serum_pct,active_ingredient_count,candidate_origin,rescue_scale_factor,rescue_anchor_formulation_id,rescue_anchor_viability_percent,active_polymer_count,total_polymer_pct,total_serum_protein_pct,total_polymer_serum_pct,total_sugar_M,total_nonpermeating_solute_M,total_viscosity_active_macromolecule_pct,total_permeating_cpa_M,crystalline_solute_saturation_burden,feasibility_policy_version,estimated_small_solute_g_L,feasibility_pass,feasibility_reasons,nearest_support_distance,support_status,source,source_row_id,formulation_label,source_type,predicted_viability_percent,viability_std,viability_prediction_status,viability_prediction_label,viability_prediction_reason,raw_surrogate_viability_mean,raw_surrogate_viability_std,viability_surrogate_prior_mean,viability_surrogate_prior_std,viability_prior_reversion,viability_exact_observation_count,viability_exact_batch_count,viability_exact_observed_mean,viability_exact_observed_sources,predicted_critical_axial_load_N_per_needle,critical_axial_load_std,intact_patch_pass_probability,empirical_combination_pass_probability,empirical_combination_weighted_passes,empirical_combination_weighted_failures,nearest_matching_intact_pass_distance,nearest_matching_intact_failure_distance,intact_combination_screening_penalty,intact_combination_policy_version,cold_start_ingredients,cold_start_ingredient_count,cold_start_prior_evidence_counts,cold_start_ordinary_exempt,cold_start_graduation_eligible,cold_start_graduation_priority,cold_start_graduation_reason,mechanical_feasibility_weight,same_formulation_range,local_neighbor_residual,retest_priority_score,viability_ucb,critical_axial_load_ucb,predicted_initial_stiffness_N_per_mm_per_needle,initial_stiffness_std,preparation_feasibility_probability,active_ingredient_excess_above_8,single_molar_excess_features,single_molar_excess_total_M,intact_failure_probability,acquisition_penalty,screening_acquisition_penalty,screening_phase_score,mechanics_phase_score,hybrid_phase_score,bootstrap_utility,prior_mechanical_observation_count,mechanical_repeat_status,mechanical_repeat_allowed,mechanics_anchor_source_batch,mechanics_anchor_selection_score,selection_role
v2_b0c3376ad599,ROUND_006,24.755000000000003,1.0,excluded_observed,missing_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_0edd7362eda9,ROUND_006,8.025,1.0,excluded_observed,missing_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_9d3ceb7016d5,ROUND_006,10.6,1.0,excluded_observed,missing_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_e579d58c9088,ROUND_006,8.125,1.0,excluded_observed,missing_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_445849cbfa02,ROUND_006,10.96,1.0,excluded_observed,missing_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_6fb2fa9dc5d5,ROUND_007,49.370000000000005,1.0,excluded_observed,missing_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_e579d58c9088,ROUND_007,13.4225,1.0,excluded_observed,missing_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_c0858ec7c2c6,ROUND_007,24.2275,1.0,excluded_observed,missing_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_d880ac9c9187,ROUND_007,21.47,1.0,excluded_observed,missing_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_6f20e63adb1d,ROUND_007,48.9975,1.0,excluded_observed,missing_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_7371aa062562,ROUND_007,50.095,1.0,excluded_observed,missing_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_655dce03a47b,ROUND_007,57.5075,1.0,excluded_observed,missing_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_724742f4ebc1,ROUND_007,12.6675,1.0,excluded_observed,missing_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_adfd2284b7fb,ROUND_007,8.127500000000001,1.0,excluded_observed,missing_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_a1a1ae0b19bb,ROUND_007,13.4975,1.0,excluded_observed,missing_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_acaa3c7de271,ROUND_007,21.485,1.0,excluded_observed,missing_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_2df18f043f0c,ROUND_007,5.9925,1.0,excluded_observed,missing_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_6f20e63adb1d,ROUND_008,26.3825,1.0,excluded_observed,missing_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_445849cbfa02,ROUND_008,23.5725,1.0,excluded_observed,missing_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_4b9990641d38,ROUND_008,12.9175,1.0,excluded_observed,missing_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_cfd8fbca69e1,ROUND_008,33.555,1.0,excluded_observed,missing_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_b2a7d8453992,ROUND_008,31.5375,1.0,excluded_observed,missing_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_16ebd2e14898,ROUND_008,41.41,1.0,excluded_observed,missing_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_00d4dc35ee8a,ROUND_008,4.4799999999999995,1.0,excluded_observed,missing_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_c29d85c403ed,ROUND_008,2.9275,1.0,excluded_observed,missing_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_d2de523913b8,ROUND_008,16.355,1.0,excluded_observed,missing_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_0c1889c524b0,ROUND_008,24.25,1.0,excluded_observed,missing_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_2c468d77758b,ROUND_008,18.295,1.0,excluded_observed,missing_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_949b1b9d7a24,ROUND_008,9.4125,1.0,excluded_observed,missing_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_6f20e63adb1d,ROUND_009,,,proposal_prediction,,retest_v2_6f20e63adb1d,1.0,retest_priority,retest_priority: reason=cross_batch_disagreement; feedback_batches=2; batch_range=22.6; latest_batch_n=4; latest_batch_sd=7.0; neighbor_residual=22.4; viability_std_tiebreak=0.7,False,,,,,,,,,,,,,,,,,,,,0.0,0.1926978068289405,0.5834021671650074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8162824588637445,0.0,0.0,3.0,retest,,,,0.0,0.0,5.8162824588637445,5.8162824588637445,0.0,0.1926978068289405,5.8162824588637445,0.5834021671650074,0.0481744517072351,round5_solubility_viscosity_v2,63.605692734734184,True,,0.0,in_support,,,,,37.968311028636194,0.698497228186286,observed_retest,Observed formulation — retest,exact formulation has 8 viability observation(s) across 2 batch(es),37.968311028636194,0.698497228186286,53.40433194444443,25.753301807730892,False,8.0,2.0,37.69,wetlab_feedback,0.0,0.0,0.8366705562227342,0.8337995735113701,4.745136476992496,0.1451722488780054,0.0,0.2991897128926981,0.0,round6_empirical_combination_intact_v1,,0.0,,True,False,,ineligible:special_origin_exemption,0.8337995735113701,22.615,22.43416666666667,1.5076666666666667,38.21278505850139,0.0,0.0,0.0,0.75,0.0,ethylene_glycol_M,0.0834021671650073,0.1633294437772657,0.147343988454814,0.0166804334330014,0.443317087345971,,,,0.0,unmeasured,True,,,round_candidate
v2_7371aa062562,ROUND_009,,,proposal_prediction,,retest_v2_7371aa062562,2.0,retest_priority,retest_priority: reason=high_latest_batch_replicate_sd; feedback_batches=1; batch_range=0.0; latest_batch_n=4; latest_batch_sd=10.4; neighbor_residual=12.8; viability_std_tiebreak=1.0,False,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.2986273369641615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1668443211358448,0.0223891747955005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,retest,,,,0.0,0.0,0.0,0.0,0.1668443211358448,0.1892334959313453,0.0,0.2986273369641615,0.2834881522589756,round5_solubility_viscosity_v2,60.49515684779741,True,,0.0,in_support,,,,,50.09737772279327,0.9992374487030832,observed_retest,Observed formulation — retest,exact formulation has 4 viability observation(s) across 1 batch(es),50.09737772279327,0.9992374487030832,53.40433194444443,25.753301807730892,False,4.0,1.0,50.095,wetlab_feedback,0.0,0.0,0.6117937075796632,0.6666666666666666,1.0,0.0,0.0,,0.0,round6_empirical_combination_intact_v1,,0.0,,True,False,,ineligible:special_origin_exemption,0.6666666666666666,0.0,12.761666666666663,1.2976069721478332,50.447110829839346,0.0,0.0,0.0,0.75,0.0,,0.0,0.3882062924203368,0.3105650339362694,0.0,0.6064508413596222,,,,0.0,unmeasured,True,,,round_candidate
v2_e520c20c7441,ROUND_009,,,proposal_prediction,,cand_001149,3.0,screening_candidate,,False,6.0,bootstrap_utility_diversity_with_actual_intact_backups,ordered_backup,bootstrap_coverage,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4712392022993907,0.0,0.0270538110717823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,sparse_exploration,,,,0.0,0.0,0.0,0.0,0.0,0.4982930133711731,0.0,0.0,0.3002164387350479,round5_solubility_viscosity_v2,57.80133560657168,True,,0.9438765521608656,in_support,,,,,,,unknown_prior_reversion,Unknown — surrogate prior reversion,surrogate mean and uncertainty are indistinguishable from the training prior,53.379627807029664,25.7532990357919,53.40433194444443,25.753301807730892,True,0.0,0.0,,,0.0,0.0,0.9874145748906062,0.5,0.0,0.0,,,0.0,round6_empirical_combination_intact_v1,,0.0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,0.5,,,,62.39328246955683,0.0,0.0,0.0,0.75,0.0,,0.0,0.0125854251093937,0.010068340087515,0.0,0.7494547581722508,,,,0.0,unmeasured,True,,,round_candidate
v2_a5836ff741f8,ROUND_009,,,proposal_prediction,,rescue_000027,4.0,rescue_candidate,rescue_dilution: scaled down a high-viability failed-patch formulation,False,10.0,bootstrap_utility_diversity_with_actual_intact_backups,ordered_backup,bootstrap_coverage,,,,,,,,,,,,,,,,0.0,0.2462737182483921,1.5404315745085806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.089603339018746,0.0,0.0,3.0,rescue_dilution,0.75,v2_fc5b4c04eee9,56.2875,0.0,0.0,6.089603339018746,6.089603339018746,0.0,0.2462737182483921,6.089603339018746,1.5404315745085806,0.061568429562098,round5_solubility_viscosity_v2,130.62485961593902,True,,0.1239089365354263,in_support,,,,,63.11232909226954,2.9171553972520927,model_supported,Model estimate,candidate has a non-prior-reverted surrogate estimate,63.11232909226954,2.9171553972520927,53.40433194444443,25.753301807730892,False,0.0,0.0,,,0.0,0.0,0.6366264733256769,0.6276818242567705,1.82680009102577,0.6767556625169512,0.1916207137186695,0.1917854100950981,0.0,round6_empirical_combination_intact_v1,,0.0,,True,False,,ineligible:special_origin_exemption,0.6276818242567705,,,,64.13333348130777,0.0,0.0,0.0,0.75,0.0,ethylene_glycol_M,1.0404315745085806,0.3633735266743231,0.4987851362411746,0.2080863149017161,0.5621980544328977,,,,0.0,unmeasured,True,,,round_candidate
v2_958a475d561d,ROUND_009,,,proposal_prediction,,cand_001152,5.0,screening_candidate,,True,1.0,bootstrap_utility_diversity_with_actual_intact_backups,primary,bootstrap_utility,,,,,,,,,,,,,,,,0.0,0.4085859366688696,0.4445899023866297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,sparse_exploration,,,,0.0,0.0,0.0,0.0,0.0,0.4085859366688696,0.0,0.4445899023866297,0.1021464841672174,round5_solubility_viscosity_v2,85.68027199798462,True,,0.146376641245389,in_support,,,,,60.63482823754864,11.217318148971897,model_supported,Model estimate,candidate has a non-prior-reverted surrogate estimate,60.63482823754864,11.217318148971897,53.40433194444443,25.753301807730892,False,0.0,0.0,,,0.0,0.0,0.9831457101946742,0.7557393408716847,2.093987151138729,0.0,0.103503915631925,,0.0,round6_empirical_combination_intact_v1,,0.0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,0.7557393408716847,,,,64.5608895896888,0.0,0.0,0.0,0.75,0.0,,0.0,0.0168542898053257,0.0134834318442606,0.0,0.7754025109451338,,,,0.0,unmeasured,True,,,round_candidate
v2_e4e4fdaec9b1,ROUND_009,,,proposal_prediction,,cand_000548,6.0,screening_candidate,,False,9.0,bootstrap_utility_diversity_with_actual_intact_backups,ordered_backup,bootstrap_coverage,,,,,,,,,,,,,,,,0.0,0.3759616815456144,0.5590387673184403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,local_perturbation,,,,0.0,0.0,0.0,0.0,0.0,0.3759616815456144,0.0,0.5590387673184403,0.0939904203864036,round5_solubility_viscosity_v2,88.14624893598014,True,,0.0943236050209623,in_support,,,,,62.58222938232858,6.527951535033989,model_supported,Model estimate,candidate has a non-prior-reverted surrogate estimate,62.58222938232858,6.527951535033989,53.40433194444443,25.753301807730892,False,0.0,0.0,,,0.0,0.0,0.979181971617159,0.7727104731883144,2.3996747849650024,0.0,0.0666968607362839,,0.0,round6_empirical_combination_intact_v1,,0.0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,0.7727104731883144,,,,64.86701241959048,0.0,0.0,0.0,0.75,0.0,ethylene_glycol_M,0.0590387673184402,0.0208180283828409,0.0284621761699608,0.011807753463688,0.7672592589654327,,,,0.0,unmeasured,True,,,round_candidate
v2_74bd7b4dd0a7,ROUND_009,,,proposal_prediction,,cand_000290,7.0,screening_candidate,,False,8.0,bootstrap_utility_diversity_with_actual_intact_backups,ordered_backup,bootstrap_coverage,,,,,,,,,,,,,,,,0.0,0.0,0.5682331654223359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.51993646723788,0.0,0.0,0.0,0.0,2.0,local_perturbation,,,,1.0,7.51993646723788,0.0,7.51993646723788,0.0,0.0,7.51993646723788,0.5682331654223359,0.0,round5_solubility_viscosity_v2,35.27023257776439,True,,0.110888882363043,in_support,,,,,61.042974059094675,10.63031664482287,model_supported,Model estimate,candidate has a non-prior-reverted surrogate estimate,61.042974059094675,10.63031664482287,53.40433194444443,25.753301807730892,False,0.0,0.0,,,0.0,0.0,0.3056887802812487,0.486389992768886,1.7752454488296665,1.930557487268892,0.1476824686987824,0.1084056721924243,0.0054440028924455,round6_empirical_combination_intact_v1,,0.0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,0.486389992768886,,,,64.76358488478267,0.0,0.0,0.0,0.75,0.0,ethylene_glycol_M,0.0682331654223359,0.6943112197187513,0.5690956088594683,0.0136466330844671,0.7587382775005221,,,,0.0,unmeasured,True,,,round_candidate
v2_058f0d84ea0e,ROUND_009,,,proposal_prediction,,cand_001885,8.0,screening_candidate,,True,2.0,bootstrap_utility_diversity_with_actual_intact_backups,primary,bootstrap_coverage,,,,,,,,,,,,,,,,0.0853806788948151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3772682270582229,0.0,0.0245274250591131,0.0,0.0,0.0,0.0,0.0,0.0,7.871730614992146,0.0,0.0,4.0,boundary_probe,,,,0.0,0.0,7.871730614992146,7.871730614992146,0.0,0.4017956521173361,7.871730614992146,0.0853806788948151,0.2686299400115226,round5_solubility_viscosity_v2,53.32196467126662,True,,1.2827439357984547,in_support,,,,,,,unknown_prior_reversion,Unknown — surrogate prior reversion,surrogate mean and uncertainty are indistinguishable from the training prior,53.31076273642058,25.75323954208707,53.40433194444443,25.753301807730892,True,0.0,0.0,,,0.0,0.0,0.9479784122954168,0.5,0.0,0.0,,,0.0,round6_empirical_combination_intact_v1,,0.0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,0.5,,,,62.32439657615105,0.0,0.0,0.0,0.75,0.0,,0.0,0.0520215877045833,0.0416172701636666,0.0,0.7486301465002226,,,,0.0,unmeasured,True,,,round_candidate
v2_f87d5e9bf5a4,ROUND_009,,,proposal_prediction,,cand_001965,9.0,screening_candidate,,True,3.0,bootstrap_utility_diversity_with_actual_intact_backups,primary,bootstrap_coverage,,,,,,,,,,,,,,,,0.0890941970277426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4003559668540912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.696867081677418,0.0,3.0,boundary_probe,,,,0.0,0.0,7.696867081677418,7.696867081677418,0.4003559668540912,0.4003559668540912,7.696867081677418,0.0890941970277426,0.1505805234994231,round5_solubility_viscosity_v2,79.08906060221062,True,,1.0977539327624892,in_support,,,,,,,unknown_prior_reversion,Unknown — surrogate prior reversion,surrogate mean and uncertainty are indistinguishable from the training prior,53.33617625738311,25.753230892811345,53.40433194444443,25.753301807730892,True,0.0,0.0,,,0.0,0.0,0.1290531695819654,0.5,0.0,0.0,,,0.0,round6_empirical_combination_intact_v1,,0.0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,0.5,,,,62.34980706986708,0.0,0.0,0.0,0.75,0.0,,0.0,0.8709468304180346,0.6967574643344276,0.0,0.7489343276420249,,,,0.0,unmeasured,True,,,round_candidate
v2_ee0e6b6d09bd,ROUND_009,,,proposal_prediction,,cand_001923,10.0,screening_candidate,,False,7.0,bootstrap_utility_diversity_with_actual_intact_backups,ordered_backup,bootstrap_coverage,,,,,,,,,,,,,,,,0.0930307537879173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4086716259378088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0476895301737095,0.0,0.0,3.0,boundary_probe,,,,0.0,0.0,7.0476895301737095,7.0476895301737095,0.4086716259378088,0.4086716259378088,7.0476895301737095,0.0930307537879173,0.1537081808886916,round5_solubility_viscosity_v2,80.89477292240561,True,,1.1011582124439263,in_support,,,,,,,unknown_prior_reversion,Unknown — surrogate prior reversion,surrogate mean and uncertainty are indistinguishable from the training prior,53.34176123699925,25.75323014283961,53.40433194444443,25.753301807730892,True,0.0,0.0,,,0.0,0.0,0.2189233639137855,0.5,0.0,0.0,,,0.0,round6_empirical_combination_intact_v1,,0.0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,0.5,,,,62.35539178699311,0.0,0.0,0.0,0.75,0.0,,0.0,0.7810766360862145,0.6248613088689716,0.0,0.7490011805592103,,,,0.0,unmeasured,True,,,round_candidate
v2_4d49c0b641bb,ROUND_009,,,proposal_prediction,,cand_001589,11.0,screening_candidate,,False,5.0,bootstrap_utility_diversity_with_actual_intact_backups,ordered_backup,bootstrap_coverage,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777292282921723,0.0221433251168448,0.0,0.0,0.740774760113165,0.0,0.0,0.0,0.0,0.0,0.0,3.0,boundary_probe,,,,1.0,0.740774760113165,0.0,0.740774760113165,0.2777292282921723,0.2998725534090172,0.740774760113165,0.0,0.3227699701697279,round5_solubility_viscosity_v2,52.939351991689634,True,,0.4480003856204332,in_support,,,,,,,unknown_prior_reversion,Unknown — surrogate prior reversion,surrogate mean and uncertainty are indistinguishable from the training prior,53.37663993498721,25.753298775302856,53.40433194444443,25.753301807730892,True,0.0,0.0,,,0.0,0.0,0.8556659714513493,0.5,0.0,0.0,,,0.0,round6_empirical_combination_intact_v1,,0.0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,0.5,,,,62.39029450634321,0.0,0.0,0.0,0.75,0.0,,0.0,0.1443340285486507,0.1154672228389206,0.0,0.7494189901910325,,,,0.0,unmeasured,True,,,round_candidate
v2_a4c0156ecbf5,ROUND_009,,,proposal_prediction,,cand_001515,12.0,screening_candidate,,True,4.0,bootstrap_utility_diversity_with_actual_intact_backups,primary,bootstrap_coverage,,,,,,,,,,,,,,,,0.0751278810186414,0.0,0.0,0.0,0.0,0.423671033441645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0263313477020842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,boundary_probe,,,,0.0,0.0,0.0,0.0,0.423671033441645,0.4500023811437292,0.0,0.0751278810186414,0.5711239988518642,round5_solubility_viscosity_v2,154.34516571523585,True,,1.1106141398846108,in_support,,,,,,,unknown_prior_reversion,Unknown — surrogate prior reversion,surrogate mean and uncertainty are indistinguishable from the training prior,53.32125267944055,25.75327043982951,53.40433194444443,25.753301807730892,True,0.0,0.0,,,0.0,0.0,0.9236261722724688,0.5,0.0,0.0,,,0.0,round6_empirical_combination_intact_v1,,0.0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,0.5,,,,62.33489733338088,0.0,0.0,0.0,0.75,0.0,,0.0,0.0763738277275311,0.0610990621820248,0.0,0.7487558478092823,,,,0.0,unmeasured,True,,,round_candidate
